id,isSmoker,willpower,health,smokedPerDay,givingUp,stepsSinceGiveUp,influenceability,sociable,maxDegree,cigLimit
n347,true,0.31427395258212143,0.7398071400723171,12,true,23,0.5542237886081527,0.9649762701688436,10,70
n349,true,0.020496673628632722,0.6972381729113375,35,true,71,0.9599646994298179,0.9944039883285318,10,70
n350,false,0.7546237445931661,0.6438062099782782,0,false,0,0.5233949747996147,0.8923830676718603,10,70
n355,true,0.4018361597396134,0.4419295656027826,13,false,0,0.8134619168116772,0.8701591751317173,10,70
n357,true,0.49024936656348844,0.6956760280480897,11,false,0,0.26807426432889603,0.24157153993483693,10,70
n359,false,0.40975923548201887,0.7656290596286232,0,false,0,1.019467456519528,0.7181713354289652,10,70
n363,true,0.3460725502571177,0.6245584286928787,34,true,3,0.38475952589410234,0.8926179671790815,10,70
n365,false,0.0,0.565706636046388,14,true,288,0.7616798354411163,0.8394221335854715,10,70
n367,true,0.6693448657790751,0.844424960039003,13,false,0,0.655160119195518,0.5453631270470551,10,70
n368,true,0.354930063398232,0.9147265818541575,11,false,0,0.7995014304325465,0.5218504396645811,10,70
n369,false,0.5515051670421732,0.6157729943000814,12,true,4,0.3115513289871175,0.892477016572956,10,70
n373,true,0.9042564339143075,0.8750225205860709,12,false,0,0.05028048475420288,0.8118750625301946,10,70
n376,true,0.29372621846863844,0.6344248461527354,43,true,30,0.3171644445258773,0.6389235346259693,10,70
n380,false,0.4244072287687065,0.6915278109744114,12,true,39,0.15703816314981917,0.816425787500628,10,70
n381,false,0.15178125014550875,0.283076522342534,12,true,5,0.699227431119263,0.8446992214988547,10,70
n388,true,0.46702641567813535,0.5855470792814247,68,true,26,0.3627826510057401,0.4917346577906222,10,70
n390,true,0.4799148822775584,0.6539078974468885,26,true,20,0.36409424037494303,0.8735175381595346,10,70
n393,false,0.3256892934509973,0.4373142174687317,0,true,300,0.17145209599679342,0.6560000350041008,10,70
n396,true,0.47816169285862,0.7378971763491637,54,true,129,0.09080164174676812,0.7631425192481744,10,70
n399,true,0.06502062665246618,0.6481875297897249,60,true,14,0.912245932372539,0.6068802513942652,10,70
n402,true,0.08095398715053598,0.7131020637157837,12,true,21,0.8731975039680671,0.5533674909773942,10,70
n403,true,0.26853244527207043,0.7788897523709175,62,true,37,0.423648352302256,0.21810256076696882,10,70
n405,true,0.0785465771812709,0.6542718059574751,13,true,6,0.8445926576420766,0.4477703312440746,10,70
n409,false,0.19417222771509213,0.8569612460419459,0,false,0,0.26304364687828397,0.8587167481650658,10,70
n410,true,0.1552681730761194,0.6802105052225066,12,false,0,0.11346523012481108,0.7221249338159096,10,70
n413,true,0.15544012709240537,0.8716365476298683,55,true,39,0.7505445008554993,0.5683120119937723,10,70
n414,true,0.17008251489680648,0.8236128633836878,12,false,0,0.49758304576989193,0.7641150021577398,10,70
n420,false,0.3472911726237585,0.4924071734715062,0,false,0,1.1796201501949306,0.4065278765329615,10,70
n425,false,0.31129473621147624,0.6421536748428645,53,true,2,0.6114924613153904,0.5947403636900513,10,70
n426,false,0.8670459646201191,0.8733311592751022,0,false,0,1.1883300522140299,0.6760155558414987,10,70
n433,true,0.4339520307258751,0.9681323468450089,13,true,84,0.24034336228348874,0.9348431878238505,10,70
n441,false,0.7057301952294902,0.5295588326531524,0,false,0,0.05014897653894177,0.4742470678554663,10,70
n444,true,0.007319815390591233,0.6618561849188023,13,false,0,0.6869955559887763,0.4532576207818133,10,70
n446,false,0.04698268757482027,0.6451101203513515,0,false,0,0.38974385880859647,0.9200773577989605,10,70
n452,false,0.17349696411193088,0.5942488594067348,12,true,9,0.7456933448683472,0.8909737204829584,10,70
n456,true,0.08117224114691973,0.8042232543429959,51,true,15,0.8917694533670952,0.9369846817492536,10,70
n458,true,0.2847728822616635,0.6133681461057334,53,true,46,0.5097337851369613,0.8473246120799859,10,70
n465,true,0.2944913838618148,0.1614905932047742,34,true,24,0.6171349441260077,0.6214587072723092,10,70
n468,true,0.01485375181747206,0.6049517456740514,56,true,142,0.9945267487622763,0.9639478176808824,10,70
n477,true,0.8250968774870546,0.6162700320396726,13,false,0,0.36997403998993705,0.6095877175331519,10,70
n479,true,0.20953890834441558,0.5008105736402192,25,true,5,0.7493011139948247,0.7762596724166589,10,70
n482,true,0.5206280680042954,0.5209447307561761,13,false,0,0.8685503296370689,0.2572897563938573,10,70
n483,true,0.9459267777223067,0.9532931947048517,13,false,0,0.5224667988024381,0.7871697489379312,10,70
n487,false,0.9735033124315164,0.9775209441775286,0,false,0,0.5368790090125402,0.42909451437618507,10,70
n492,true,0.23071872207781646,0.49494067811735154,16,true,8,0.736320724161035,0.6598316051122618,10,70
n496,false,0.5098443541078092,0.6100464903991416,18,true,11,0.23759641731024134,0.7959605948245102,10,70
