id,isSmoker,willpower,health,smokedPerDay,givingUp,stepsSinceGiveUp,influenceability,persuasiveness,sociable,maxDegree,cigLimit
n155,true,0.4863359523676795,0.6445990633503479,12,true,19,0.8345781050964586,0.9328870014650903,0.7547158618409631,10,70
n157,false,0.7809832235515852,0.9976338744966079,0,true,19,0.387047833050139,0.7471197729240635,0.738135208898663,10,70
n164,false,0.3250023012772115,0.6903069349854754,12,true,17,0.39448946353164127,0.7319118973008023,0.7491968768030336,10,70
n166,false,0.4382508448676254,0.6306637182438778,11,true,16,0.10254992019771883,0.5022733355421294,0.7887382156645205,10,70
n168,true,0.3701520066229893,0.522075317781016,12,false,0,0.578985022929617,0.9855006320260179,0.9152368322348978,10,70
n169,true,0.6016693212760206,0.5983858617718809,24,false,0,0.3456506187741101,0.19332009652343707,0.4055286345034046,10,70
n170,false,0.5896762588462515,0.9875256809076709,0,true,19,0.06546749456140771,0.28273078086030873,0.6801104584438117,10,70
n171,false,0.17309271014257255,0.6519895214811122,16,true,3,0.7129358855740536,0.7257798410257777,0.8065984306710721,10,70
n174,false,0.1857183978916775,0.8121973612823679,12,true,12,0.3851500137128672,0.5521732808169196,0.42617965201480823,10,70
n175,false,0.3117812694127998,0.5951937034189474,21,true,8,0.5046685604292445,0.5138269766338565,0.6675982117808421,10,70
n179,true,0.14129389509873858,0.692353671396136,14,true,19,0.6512987947582549,0.41107882082158503,0.9215810302306631,10,70
n189,false,0.21832803085232272,0.34141117893807305,0,true,19,0.5354366984823482,0.9335369652452342,0.3894787547659856,10,70
n190,true,0.4612598183463637,0.8312341810160949,12,true,19,0.7746373620125387,0.6670105756904825,0.49778266612889865,10,70
n192,true,0.06434276171954162,0.8704914395758883,18,false,0,0.6760224554624165,0.3547209586693152,0.7787883146444273,10,70
n194,false,0.4180928377331469,0.8505819723836735,0,true,19,0.16955053938080986,0.8618399065650598,0.8018749602051672,10,70
n195,true,0.20132475458597143,0.36580084422699466,16,true,10,0.5991437358050293,0.6544842957699627,0.5845678673998741,10,70
n200,false,0.85649966881637,0.7424988560551492,0,false,0,0.5706138183173822,0.9145172474807386,0.3952812607937588,10,70
n202,true,0.5222448239441441,0.6122492173675804,11,false,0,0.11142143699430374,0.28304773602516464,0.42929855082767465,10,70
n205,false,0.46261286596572765,0.6978970686154018,12,true,1,0.07477426806854472,0.9746367110190262,0.8533882174290273,10,70
n211,false,0.13118183597632804,0.9511880917643158,0,false,0,0.29009868854763293,0.054635666472564515,0.8910229455817607,10,70
n217,false,0.09607832999454721,0.6344909805575868,13,true,2,0.8590282543780574,0.7128141071271005,0.6907148039139421,10,70
n218,false,0.32097288437925925,0.6890558770892065,13,true,16,0.47206991256873493,0.5949142131554501,0.41219276143883626,10,70
n219,false,0.7336845376627283,0.3666250993985612,0,false,0,0.6781774088050123,0.24849856810590915,0.9223750380361719,10,70
n222,false,0.2156968362782946,0.730351268139273,0,false,0,0.07884823779430913,0.24452873811232495,0.6987137775254689,10,70
n224,false,0.33128080324076914,0.47925407108802,0,true,19,0.4493335437876377,0.16965743673518574,0.7745215993179748,10,70
n227,false,0.34274975862952406,0.7149220109549562,18,true,4,0.33039184263544674,0.8328237217734744,0.7459079384016875,10,70
n229,true,0.30048519941592433,0.6542097883508807,13,true,19,0.9317591582757433,0.4176219217725172,0.8195617430921287,10,70
n230,false,0.08632445519017473,0.3731776693652437,0,false,0,0.5565728740688777,0.055729326176595595,0.8194503944181968,10,70
n231,true,0.5107369248227693,0.8077648768038456,11,false,0,0.7288724675700997,0.6881200680487471,0.9129591909712803,10,70
n232,true,0.058087007387799636,0.5788390448300219,12,true,7,0.8945479433152587,0.8571082541159829,0.8897911532660727,10,70
n233,false,0.2898190323463097,0.4927480794233943,13,true,18,0.39071734814835357,0.5981878720588643,0.6289389892747647,10,70
